Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
360,10:37.7,16:38.5,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3639,Harborside,40.71925170000001,-74.034234,33084,Subscriber,1996,male
1169,10:57.7,30:27.2,3198,Heights Elevator,40.74871595,-74.04044329999999,3209,Brunswick St,40.7241765,-74.05065640000001,44721,Subscriber,1962,male
963,11:36.6,27:40.5,3213,Van Vorst Park,40.71848892,-74.04772663,3269,Brunswick & 6th,40.72601173,-74.05038893,32945,Subscriber,1990,male
1001,11:48.0,28:29.4,3213,Van Vorst Park,40.71848892,-74.04772663,3269,Brunswick & 6th,40.72601173,-74.05038893,48923,Subscriber,1989,male
1194,11:54.1,31:48.6,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,48916,Customer,1985,female
80,12:58.3,14:18.6,3278,Monmouth and 6th,40.72568548,-74.04879034,3278,Monmouth and 6th,40.72568548,-74.04879034,29387,Subscriber,1988,male
1174,14:31.9,34:06.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3280,Astor Place,40.7192822,-74.07126188,42379,Subscriber,1988,male
1303,15:06.6,36:49.9,3270,Jersey & 6th St,40.72528911,-74.04557168,3184,Paulus Hook,40.7141454,-74.0335519,43416,Subscriber,1968,female
724,15:13.9,27:18.2,3202,Newport PATH,40.7272235,-74.03375890000001,3185,City Hall,40.717732500000004,-74.04384499999999,40207,Subscriber,1980,female
425,15:14.9,22:20.2,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3639,Harborside,40.71925170000001,-74.034234,44916,Subscriber,1994,male
627,16:09.8,26:37.5,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.724605100000005,-74.07840595,41618,Subscriber,1963,male
384,18:08.9,24:33.8,3209,Brunswick St,40.7241765,-74.05065640000001,3187,Warren St,40.721123600000006,-74.03805095,32370,Subscriber,1988,male
